rep,id,beta_exp,p,rho,phi_power,delta_0,t00,TT,I_rho,Classification,Group
9,659,8.00581999107324,2.67553731157168,0.0467968430997994,6.4605778774213,2.50365153306131,11.241344547497,2.63756621698855,0.112097102230701,Viral Rebound,1
10,659,7.78261089296557,2.76076645080983,0.13915781280389,6.42149194536708,1.94681930735311,13.0421599762565,3.35785613088666,0.67285781513338,Viral Rebound,1
1,687,8.25533070055995,2.8071086198004,0.279753390325513,6.4107988116308,1.77511327408772,13.4286032698097,1.86682435871745,1.79278110982449,Viral Rebound,1
2,687,8.1751902597893,2.66539722052375,0.465931211428962,6.32912677045777,1.73609425584825,12.9262811921295,1.93873961598042,2.00858192936853,Viral Rebound,1
3,687,8.08278760163713,2.59599796831947,0.210770068526742,6.39129895262371,1.52516593209977,12.2825639368295,2.00916058497621,3.57307607729085,Viral Rebound,1
4,687,8.02784042923949,2.68353401726863,0.42567513265947,6.54699155644007,1.81148404670995,14.4383815287522,1.67648843400236,1.15393611509322,Viral Rebound,1
5,687,8.02227621636582,2.67192900272676,0.301855622280195,6.52885701702564,1.93300557511505,10.8835363150976,1.33650484646149,3.12886482033222,Viral Rebound,1
6,687,8.13709195799141,2.65724230798625,0.547486096207251,6.51870018070043,1.65404851983799,14.2223123719775,1.41403817505514,2.07162432334442,Viral Rebound,1
7,687,8.05122737950883,2.60796139550687,0.46954211890334,6.48604927276566,1.51933322971965,13.2188148804098,3.3227637081181,1.74486823379671,Viral Rebound,1
8,687,8.06456223917123,2.62137066983973,0.163473034894507,6.34041828994824,1.60463623150875,11.6576564646066,2.52495224095647,3.15735347706398,Viral Rebound,1
9,687,8.13440078806965,2.76214340299391,0.289457858207353,6.37780372407989,1.9611169538377,13.3642472815021,1.02168167938132,1.99041819848915,Viral Rebound,1
10,687,7.86421305144329,2.76113072632931,0.141318879326019,6.40068178855573,1.9622158630026,13.0691491687412,1.03985289455482,2.01932207224102,Viral Rebound,1
1,792,7.84170585978168,2.58485171669103,0.101731555602849,6.50074091390065,1.895113548797,11.3164453063077,0.981553322412189,4.12138788465832,Viral Rebound,1
2,792,8.21227220552571,2.58861778696148,0.378260946137775,6.3475571307864,2.14636491405444,10.3367706119686,1.51608302038058,1.04924274796431,Viral Rebound,1
