rep,id,eta_beta_exp,eta_p,eta_rho,eta_phi_power,eta_delta_0,eta_t00,eta_TT,eta_I_rho,Classification,Group
8,687,0.0136336660520104,-0.0112697313620585,-0.0805882358213474,-0.13099434461985,-0.139954082036753,-0.36290284384015,0.203433541560222,1.55078840312589,Viral Rebound,1
9,687,0.207856561151794,0.0410399048587903,0.654003927440091,-0.0968577367839703,0.0606630194372941,0.0595728559155465,-0.701338631566081,1.08939900034298,Viral Rebound,1
10,687,-0.618744387569173,0.0406732105205289,-0.252356271909199,-0.0763118123514071,0.061223211113575,-0.00786693112456213,-0.683709350910345,1.10381608097318,Viral Rebound,1
1,792,-0.702155678830174,-0.0252989254309438,-0.626108956135568,0.0107194773301432,0.0264275910533752,-0.459647026109258,-0.741407545786446,1.81724420553386,Viral Rebound,1
2,792,0.417905204049198,-0.0238430084943403,1.05508628116049,-0.124420477313359,0.150924507685117,-0.77413734492214,-0.306658558010756,0.449122945260584,Viral Rebound,1
3,792,-0.475477325729656,-0.0254236838138275,1.26634008244163,0.0918547881144138,0.195528214204909,1.30059494002942,-0.108883307420348,0.241682831648959,Viral Rebound,1
4,792,0.332257737219973,0.00502151446706275,1.54620715065241,0.11410781610516,0.602412375449738,-0.129090341852295,-0.0321118963760318,0.788945282669875,Viral Rebound,1
5,792,-0.702789636109885,0.0615038395959975,0.687804647155511,-0.0565963393429418,0.237275125216441,0.716196967944072,-0.522664239515441,-1.63991467194402,Viral Rebound,1
6,792,-0.180457319796011,0.00695470420429502,-0.328913405387796,-0.054532874800828,0.344196973184806,0.0935922248253698,-0.247667210652971,1.60400418592705,Viral Rebound,1
7,792,-0.23642869266496,-0.0378695247612076,0.343708928915531,-0.135405776459332,0.21685498578789,0.56430192525346,-0.138254688013752,0.864337534548382,Viral Rebound,1
8,792,-0.278450969185491,-0.0278456937693105,0.256493633368994,-0.00795402612248924,0.264169121250497,0.324785961893784,0.251606307779678,1.38683614646722,Viral Rebound,1
9,792,0.541451036681564,0.0276017138949934,2.32519947702654,-0.145761647372576,-0.0759819373859448,0.040292737702668,0.561874020310728,0.420734495537123,Viral Rebound,1
10,792,-0.071649045813296,-0.0156473428872847,1.25135264695094,-0.0729933391243157,0.208170954798073,-0.271727467923722,0.00360491757934361,0.695123920936551,Viral Rebound,1
1,883,-0.534720857142744,0.00952052069672674,-0.139753653510187,0.000927825905269382,0.324954344742218,-0.0496300423836862,0.110086909731736,0.257295550054823,Viral Rebound,1
2,883,-0.262108299037588,0.0915797822294334,0.160571909071387,0.0288451269095187,0.0646946209257766,1.21136287025936,0.0788575571426477,-1.69336418306999,Viral Rebound,1
3,883,-0.453938314832124,0.0106700862110489,-0.151399418434786,0.00211389087931902,0.216012081517056,0.724139722573744,-0.433656119793937,0.606031317396015,Viral Rebound,1
4,883,0.0345171145752015,-0.0490039764329354,-0.655437400963974,-0.00242772476010661,0.341253349418025,0.876506236186388,-0.245097125102832,-0.608014835119015,Viral Rebound,1
5,883,-0.342835354768541,0.0242565822665754,-0.355633144015947,-0.0608762408482452,0.359205107067802,0.873945006150298,-0.490702871577546,-1.45579114264438,Viral Rebound,1
6,883,0.257338809448596,0.0148590349226292,0.121016563562266,0.0402001240837973,0.145501545723848,-0.255638801320539,0.549423677422186,1.19335839085193,Viral Rebound,1
7,883,-0.00288077630165828,0.00919275911421214,-0.212064953539046,0.00817260223471946,0.389673073804038,0.321539344153618,-0.0225060320179262,-0.459442273187383,Viral Rebound,1
8,883,0.603132813411254,0.00296520955094659,-0.0757533252841621,0.0145312340341432,0.483730757189772,1.61733370940696,0.156841080499546,-0.447133256782142,Viral Rebound,1
9,883,-0.380271566260149,0.0520743808538406,0.00856980737699742,-0.0128463753395621,0.192748619871984,0.473911580545259,-0.169399641518156,-0.380725008465339,Viral Rebound,1
10,883,-0.0190989859980851,0.0401590845816568,0.870970161979352,0.0398469891404106,0.310107750229472,0.0868040671710093,0.0300022587607469,0.0921915663112033,Viral Rebound,1
